Unnamed: 0,ASB,Burglary,Robbery,Vehicle,Violent,Shoplifting,CD&A,Other Theft,Drugs,Bike Theft,Theft From the Person,Weapons,Public Order,Other,Total
May 2020,51,16,5,8,21,18,13,10,32,15,11,2,10,14,226
Apr 2020,27,29,0,2,23,46,6,16,22,8,15,5,12,25,236
Mar 2020,56,23,5,19,81,64,16,158,41,30,49,8,30,25,605
Feb 2020,85,14,9,21,89,74,25,221,41,31,99,4,32,18,763
Jan 2020,87,33,12,28,110,68,20,197,75,38,71,5,34,19,797
Dec 2019,85,31,16,26,141,58,25,237,79,16,92,9,42,25,882
Nov 2019,113,30,17,22,134,66,18,232,78,22,106,13,48,34,933
Oct 2019,122,27,17,27,138,70,31,231,70,39,100,3,32,22,929
Sep 2019,115,26,13,19,127,64,37,188,75,31,74,8,44,32,853
Aug 2019,109,29,14,11,130,93,20,182,67,56,99,5,50,36,901
Jul 2019,102,21,14,19,107,88,18,231,73,41,76,10,54,12,866
Jun 2019,100,29,24,14,115,103,25,280,48,47,77,9,32,19,922
May 2019,75,34,11,9,72,83,23,234,32,45,50,3,28,12,711
Apr 2019,99,28,10,8,100,74,21,317,47,52,38,5,43,9,851
Mar 2019,137,28,13,10,137,102,23,257,41,30,48,5,36,12,879
Feb 2019,93,27,10,8,98,73,22,178,53,29,55,1,40,1,688
Jan 2019,93,24,8,21,76,79,18,149,49,29,37,5,24,5,617
Dec 2018,108,34,10,12,112,75,28,201,40,20,78,4,24,14,760
Nov 2018,108,17,8,31,118,90,15,192,37,35,89,3,41,15,799
Oct 2018,126,15,11,22,125,96,19,151,42,59,56,10,38,12,782
Sep 2018,87,8,18,14,99,68,23,134,53,60,52,7,31,9,663
Aug 2018,118,42,5,25,105,85,16,124,36,40,67,6,35,11,715
Jul 2018,140,19,7,35,118,75,12,126,30,83,63,3,46,10,767
Jun 2018,152,38,4,18,104,71,19,131,31,43,62,3,41,12,729
May 2018,139,29,7,25,114,69,18,133,32,24,36,9,34,11,680
Apr 2018,113,32,6,17,110,82,16,123,32,31,39,11,37,14,663
Mar 2018,133,43,8,8,113,89,28,118,31,19,61,5,47,4,707
Feb 2018,106,22,9,24,94,54,20,158,18,15,44,6,33,8,611
Jan 2018,186,29,12,21,95,61,24,149,28,31,74,4,23,6,743
Dec 2017,179,21,10,28,96,43,22,156,19,14,77,7,14,8,694
Nov 2017,198,30,6,23,67,67,23,123,31,31,66,6,23,14,708
Sep 2017,0,25,2,20,98,65,18,99,29,36,27,8,22,14,463
Aug 2017,168,23,5,11,95,61,18,123,27,52,52,5,18,10,668
Jul 2017,139,12,7,6,76,39,12,115,32,39,43,6,19,21,566
Jun 2017,151,13,8,13,95,56,16,113,20,36,48,4,24,9,606
May 2017,0,27,2,16,75,62,24,140,31,32,64,1,20,11,505
Apr 2017,152,20,3,13,73,60,31,137,34,33,35,4,19,12,626
Mar 2017,179,15,0,16,71,87,22,174,19,26,64,6,17,19,715
Feb 2017,56,20,3,11,62,75,27,128,29,18,47,1,20,10,507
Jan 2017,129,19,3,14,52,69,14,94,21,19,29,2,15,12,492
Dec 2016,0,30,1,5,116,67,21,139,31,24,43,2,17,16,512
Nov 2016,167,25,2,12,78,54,18,165,17,26,31,5,26,14,640
Oct 2016,0,33,1,19,91,57,12,127,23,31,26,5,17,14,456
Sep 2016,155,22,3,14,72,63,19,135,34,46,50,7,26,13,659
Aug 2016,0,15,5,21,78,53,18,140,33,52,35,1,14,15,480
Jul 2016,73,21,5,18,70,59,27,102,25,36,48,3,21,15,523
Jun 2016,64,9,1,15,68,44,14,143,28,39,40,3,23,14,505
May 2016,50,23,1,18,72,50,12,114,26,26,37,3,16,19,467
Apr 2016,79,18,2,17,76,64,21,119,25,35,25,4,17,8,510
Mar 2016,57,16,1,9,74,37,28,144,34,16,35,3,25,20,499
Feb 2016,92,16,5,15,76,54,25,118,30,15,35,2,23,19,525
Jan 2016,0,12,2,13,68,54,30,91,34,15,36,5,24,11,395
Dec 2015,0,26,5,5,99,56,19,147,22,20,44,6,32,12,493
Nov 2015,62,21,4,5,79,67,24,117,27,23,37,4,24,12,506
Oct 2015,0,16,1,7,82,65,30,119,25,26,34,2,11,13,431
Sep 2015,67,13,6,6,71,48,15,125,34,25,42,1,25,21,499
Aug 2015,92,12,4,6,67,62,21,110,42,23,32,3,22,20,516
Jul 2015,79,16,7,8,77,57,21,146,33,33,29,1,25,11,543
Jun 2015,77,26,1,7,92,50,25,128,32,30,33,1,21,12,535
May 2015,71,30,2,16,66,64,11,132,27,20,35,0,18,11,503
Apr 2015,0,28,3,9,53,62,17,118,40,31,43,5,17,9,435
Mar 2015,87,23,2,7,70,51,11,148,30,24,44,4,20,13,534
Feb 2015,88,20,1,11,68,60,19,132,24,19,28,2,17,12,501
Jan 2015,104,17,5,13,62,48,18,122,52,16,41,2,14,16,530
Dec 2014,86,9,6,17,77,56,22,140,38,17,52,3,19,23,565
Nov 2014,112,12,5,20,80,51,21,147,32,34,33,1,27,15,590
Oct 2014,94,19,2,19,68,42,15,182,35,29,39,2,23,19,588
Sep 2014,76,23,1,24,51,51,10,151,35,34,33,3,17,11,520
Aug 2014,79,17,4,16,59,58,26,145,30,53,24,4,12,11,538
Jul 2014,98,17,1,28,58,46,20,160,31,54,30,2,19,16,580
Jun 2014,88,12,4,12,55,50,17,154,41,26,26,3,13,13,514
May 2014,108,27,4,23,42,36,10,136,30,34,19,3,14,11,497
Apr 2014,80,24,4,21,56,42,20,162,38,43,25,1,18,17,551
Mar 2014,102,25,4,27,65,60,22,145,35,39,42,0,10,23,599
Feb 2014,71,15,6,21,58,48,14,146,35,26,46,2,19,19,526
Jan 2014,66,22,4,19,50,38,16,136,49,15,26,2,10,20,473
Dec 2013,77,18,6,9,69,27,20,153,35,17,27,1,9,12,480
Nov 2013,85,16,2,7,59,80,27,155,39,17,28,3,17,17,552
Oct 2013,118,21,5,9,60,53,14,191,37,32,35,4,13,16,608
Sep 2013,99,21,4,6,50,46,26,151,36,31,22,1,8,21,522
Aug 2013,111,19,3,8,54,58,18,130,40,43,26,2,12,16,540
Jul 2013,108,46,3,4,36,59,19,148,38,41,43,3,17,18,583
Jun 2013,98,20,2,13,63,49,24,150,23,44,41,0,18,21,566
May 2013,103,29,4,7,49,48,19,168,41,26,31,2,20,13,560
Apr 2013,69,38,4,13,52,65,25,225,225,225,32,9,9,13,545
Mar 2013,77,14,4,14,50,44,15,284,284,284,41,14,14,12,569
Feb 2013,55,22,6,30,51,36,12,239,239,239,31,15,15,14,511
Jan 2013,84,38,6,20,45,50,22,238,238,238,50,13,13,11,577
Dec 2012,134,33,4,12,57,45,26,189,189,189,44,24,24,16,584
Nov 2012,108,25,4,8,64,51,17,221,221,221,36,16,16,36,586
Oct 2012,121,31,4,14,54,54,25,219,219,219,43,27,27,27,619
Sep 2012,130,12,4,10,50,53,22,200,200,200,36,25,25,24,566
Aug 2012,161,31,2,23,47,41,7,223,223,223,54,20,20,35,644
Jul 2012,175,52,5,16,71,55,23,260,260,260,46,23,23,37,763
Jun 2012,137,50,5,24,43,62,17,212,212,212,25,13,13,27,615
May 2012,138,30,3,14,50,44,23,247,247,247,39,22,22,39,649
Apr 2012,127,27,4,9,45,40,19,215,215,215,42,21,21,23,572
Mar 2012,156,23,5,23,57,75,25,259,259,259,73,10,10,29,735
Feb 2012,157,15,8,13,70,58,22,235,235,235,43,18,18,32,671
Jan 2012,165,24,4,9,48,63,14,210,210,210,53,14,14,21,625
Dec 2011,157,13,1,12,57,53,23,179,179,179,22,11,11,15,543
Nov 2011,170,18,3,12,60,57,21,222,222,222,49,24,24,16,652
Oct 2011,150,18,5,10,34,39,19,191,191,191,45,19,19,19,549
Sep 2011,147,28,2,13,72,57,16,283,283,283,64,3,3,31,716
Aug 2011,162,2,3,13,67,436,436,436,436,436,436,436,436,436,683
Jul 2011,193,29,5,13,70,443,443,443,443,443,443,443,443,443,753
Jun 2011,133,37,3,36,50,490,490,490,490,490,490,490,490,490,749
May 2011,171,30,6,20,59,441,441,441,441,441,441,441,441,441,727
Apr 2011,164,28,5,17,46,486,486,486,486,486,486,486,486,486,746
Mar 2011,153,16,3,23,68,602,602,602,602,602,602,602,602,602,865
Feb 2011,156,16,4,26,59,478,478,478,478,478,478,478,478,478,739
Jan 2011,117,18,1,32,72,504,504,504,504,504,504,504,504,504,744
Dec 2010,147,8,5,16,59,355,355,355,355,355,355,355,355,355,590
